id,name,link,stt_file_path
62cc559e426d0dbf87bab04c,India Inc - Chasing the Crypto-NFT Dream,https://www.khulke.com/roundtable?id=62cc559e426d0dbf87bab04c,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62cc559e426d0dbf87bab04c/recording_stt_file/transcript.txt
62c68af6cf32454afa802a72,A long look at real estate,https://www.khulke.com/roundtable?id=62c68af6cf32454afa802a72,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/61eaaf59bf64f166e82f7dd7/roundtable/62c68af6cf32454afa802a72/recording_stt_file/transcript.txt
62c68658a23809dc3736e3fd,India's Big Loss at Edgbaston Test - decoded,https://www.khulke.com/roundtable?id=62c68658a23809dc3736e3fd,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624a8afcf24cef661b93e452/roundtable/62c68658a23809dc3736e3fd/recording_stt_file/transcript.txt
62aede1ed8ca59e09f95640b,Is India Ready for Technology Start Ups?,https://www.khulke.com/roundtable?id=62aede1ed8ca59e09f95640b,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/62aede1ed8ca59e09f95640b/recording_stt_file/transcript.txt
62c40ea3cd6eb10a50a3ea63,Curtain Call with Makarand Deshpande,https://www.khulke.com/roundtable?id=62c40ea3cd6eb10a50a3ea63,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/61e933d81fb5f6fb7412ffb1/roundtable/62c40ea3cd6eb10a50a3ea63/recording_stt_file/transcript.txt
62c550daf39d8821b3b1a284,"The Agony & Ecstasy, Nambi Narayananâ€™s ROCKETRY",https://www.khulke.com/roundtable?id=62c550daf39d8821b3b1a284,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/62c550daf39d8821b3b1a284/recording_stt_file/transcript.txt
62c3f97e4986a308184a1004,"Big Indian Picture: Lights, Camera, Politics",https://www.khulke.com/roundtable?id=62c3f97e4986a308184a1004,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/623828b19879f76bda5763d0/roundtable/62c3f97e4986a308184a1004/recording_stt_file/transcript.txt
62aedb26d8ca59e09f956405,The Challenges of Making Tunnels in the Himalayas,https://www.khulke.com/roundtable?id=62aedb26d8ca59e09f956405,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/62aedb26d8ca59e09f956405/recording_stt_file/transcript.txt
62bd3d847e8695a8afb66bea,"Open To Question - Free Speech, liberty and public",https://www.khulke.com/roundtable?id=62bd3d847e8695a8afb66bea,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/6226db38425526c7ddd8085a/roundtable/62bd3d847e8695a8afb66bea/recording_stt_file/transcript.txt
62ac24221ffb8e34b9bd16d1,Can India Ace Satellite Making in Private Sector?,https://www.khulke.com/roundtable?id=62ac24221ffb8e34b9bd16d1,https://khulkebeta-public-cdn.s3.ap-south-1.amazonaws.com/uploads/624bf8b82c80d36f0077e0cb/roundtable/62ac24221ffb8e34b9bd16d1/recording_stt_file/transcript.txt
